transaction_id,customer_id,product_code,quantity,unit_price,discount,total_amount,transaction_date,customer_segment,region
1,353,PROD_4590,16,283.98,0.212,1260.87,2025-09-10 18:28:20,Standard,North
2,908,PROD_9473,11,88.91,0.245,1007.44,2025-03-20 18:28:20,Basic,South
3,130,PROD_9698,6,101.7,0.193,1950.15,2025-01-07 18:28:20,Basic,East
4,156,PROD_4206,10,223.79,0.152,404.28,2025-06-07 18:28:20,Basic,Central
5,74,PROD_1594,8,226.62,0.066,1572.72,2025-04-21 18:28:20,Basic,South
6,342,PROD_7249,16,144.45,0.084,1352.93,2025-04-25 18:28:20,Standard,Central
7,465,PROD_6973,3,74.64,0.095,1949.12,2025-07-21 18:28:20,Standard,West
8,90,PROD_1786,2,473.03,0.011,1868.8,2025-05-02 18:28:20,Premium,Central
9,579,PROD_4745,16,74.5,0.274,265.86,2025-07-17 18:28:20,Premium,South
10,455,PROD_2474,19,181.88,0.27,622.36,2024-11-13 18:28:20,Basic,East
11,748,PROD_3601,9,159.39,0.032,1703.09,2025-02-02 18:28:20,Standard,East
12,712,PROD_2513,16,434.51,0.167,465.03,2025-05-08 18:28:20,Basic,West
13,980,PROD_1820,4,210.93,0.14,763.29,2025-09-06 18:28:20,Premium,North
14,332,PROD_5102,10,70.78,0.205,1255.67,2025-10-13 18:28:20,Basic,South
15,739,PROD_2298,19,15.03,0.181,1130.2,2025-08-04 18:28:20,Premium,North
16,977,PROD_9605,13,363.76,0.037,1284.81,2024-11-24 18:28:20,Premium,West
17,348,PROD_5180,18,360.11,0.198,1429.84,2025-04-11 18:28:20,Standard,Central
18,233,PROD_8423,15,214.71,0.183,1460.25,2025-05-23 18:28:20,Basic,Central
19,778,PROD_3441,4,71.89,0.159,1477.74,2025-02-07 18:28:20,Standard,West
20,598,PROD_5803,9,192.1,0.121,1983.44,2025-09-11 18:28:20,Premium,East
21,102,PROD_3320,4,299.04,0.286,719.61,2024-10-17 18:28:20,Premium,South
22,953,PROD_8141,16,354.93,0.255,97.93,2025-02-18 18:28:20,Basic,West
23,481,PROD_5563,15,48.34,0.176,704.24,2024-12-20 18:28:20,Basic,West
24,214,PROD_4047,2,282.59,0.002,1824.04,2025-01-10 18:28:20,Basic,South
25,108,PROD_4753,14,145.3,0.13,175.94,2024-12-13 18:28:20,Basic,East
26,165,PROD_7708,3,312.46,0.21,1297.42,2024-10-19 18:28:20,Premium,East
27,973,PROD_6105,4,327.59,0.035,852.09,2024-12-04 18:28:20,Premium,South
28,603,PROD_3730,1,456.2,0.122,1843.93,2025-05-26 18:28:20,Premium,North
29,704,PROD_9528,9,211.09,0.058,1857.86,2025-01-21 18:28:20,Standard,Central
30,335,PROD_2094,17,273.42,0.101,1572.64,2025-01-18 18:28:20,Standard,South
31,86,PROD_4798,14,141.43,0.008,206.06,2025-04-14 18:28:20,Standard,East
32,734,PROD_2511,17,150.41,0.038,59.18,2025-03-10 18:28:20,Basic,North
33,875,PROD_1854,1,32.56,0.136,281.81,2025-03-29 18:28:20,Premium,West
34,424,PROD_3882,10,150.17,0.269,650.43,2024-12-09 18:28:20,Standard,West
35,613,PROD_5722,16,41.28,0.147,490.45,2025-05-23 18:28:20,Basic,West
36,738,PROD_9977,19,482.32,0.136,745.82,2025-01-28 18:28:20,Basic,Central
37,364,PROD_8704,3,315.89,0.236,294.72,2024-12-27 18:28:20,Basic,East
38,60,PROD_7934,12,94.84,0.08,1507.48,2024-12-12 18:28:20,Premium,North
39,482,PROD_3751,3,67.22,0.029,1692.14,2025-06-23 18:28:20,Basic,East
40,250,PROD_4870,15,191.36,0.063,981.03,2025-09-15 18:28:20,Standard,Central
41,560,PROD_1281,17,160.75,0.237,1913.49,2025-09-29 18:28:20,Basic,Central
